Landtagswahl 1989, 12.03.1989 (Bericht wurde generiert am 16.08.2013 um 11:09)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Wahlberechtigte männlich;Wahlberechtigte weiblich;Auslandstiroler Wahlberechtigte männlich;Auslandstiroler Wahlberechtigte weiblich;Wahlberechtigte gesamt;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Wählergruppe1;Name/Wählergruppe1;Stimmen/Wählergruppe1;Prozente/Wählergruppe1;Nr./Wählergruppe2;Name/Wählergruppe2;Stimmen/Wählergruppe2;Prozente/Wählergruppe2;Nr./Wählergruppe3;Name/Wählergruppe3;Stimmen/Wählergruppe3;Prozente/Wählergruppe3;Nr./Wählergruppe4;Name/Wählergruppe4;Stimmen/Wählergruppe4;Prozente/Wählergruppe4;Nr./Wählergruppe5;Name/Wählergruppe5;Stimmen/Wählergruppe5;Prozente/Wählergruppe5;Nr./Wählergruppe6;Name/Wählergruppe6;Stimmen/Wählergruppe6;Prozente/Wählergruppe6;Nr./Wählergruppe7;Name/Wählergruppe7;Stimmen/Wählergruppe7;Prozente/Wählergruppe7;
701;Innsbruck-Stadt;70101;Innsbruck;36540;46970;0;0;83510;70806;84,79;67254;3552;1;ÖVP;23363;34,74;2;SPÖ;17989;26,75;3;FPÖ;11507;17,11;4;GRÜNE;8513;12,66;5;VGÖ;1176;1,75;6;KPÖ;1067;1,59;7;TAB;3639;5,41;
702;Imst;70201;Arzl im Pitztal;831;850;0;0;1681;1507;89,65;1423;84;1;ÖVP;855;60,08;2;SPÖ;274;19,26;3;FPÖ;144;10,12;4;GRÜNE;95;6,68;5;VGÖ;20;1,41;6;KPÖ;0;0,00;7;TAB;35;2,46;
702;Imst;70202;Haiming;1166;1236;0;0;2402;2174;90,51;2068;106;1;ÖVP;966;46,71;2;SPÖ;527;25,48;3;FPÖ;377;18,23;4;GRÜNE;124;6,00;5;VGÖ;24;1,16;6;KPÖ;0;0,00;7;TAB;50;2,42;
702;Imst;70203;Imst;2315;2647;0;0;4962;4427;89,22;4158;269;1;ÖVP;1941;46,68;2;SPÖ;934;22,46;3;FPÖ;810;19,48;4;GRÜNE;332;7,98;5;VGÖ;28;0,67;6;KPÖ;0;0,00;7;TAB;113;2,72;
702;Imst;70204;Imsterberg;231;239;0;0;470;423;90,00;404;19;1;ÖVP;291;72,03;2;SPÖ;62;15,35;3;FPÖ;30;7,43;4;GRÜNE;15;3,71;5;VGÖ;3;0,74;6;KPÖ;0;0,00;7;TAB;3;0,74;
702;Imst;70205;Jerzens;310;300;0;0;610;576;94,43;562;14;1;ÖVP;435;77,40;2;SPÖ;53;9,43;3;FPÖ;38;6,76;4;GRÜNE;23;4,09;5;VGÖ;2;0,36;6;KPÖ;0;0,00;7;TAB;11;1,96;
702;Imst;70206;Karres;186;176;0;0;362;349;96,41;337;12;1;ÖVP;212;62,91;2;SPÖ;91;27,00;3;FPÖ;25;7,42;4;GRÜNE;5;1,48;5;VGÖ;1;0,30;6;KPÖ;0;0,00;7;TAB;3;0,89;
702;Imst;70207;Karrösten;215;220;0;0;435;405;93,10;384;21;1;ÖVP;208;54,17;2;SPÖ;124;32,29;3;FPÖ;27;7,03;4;GRÜNE;16;4,17;5;VGÖ;1;0,26;6;KPÖ;0;0,00;7;TAB;8;2,08;
702;Imst;70208;Längenfeld;1109;1147;0;0;2256;2077;92,07;2007;70;1;ÖVP;1578;78,62;2;SPÖ;247;12,31;3;FPÖ;99;4,93;4;GRÜNE;46;2,29;5;VGÖ;9;0,45;6;KPÖ;0;0,00;7;TAB;28;1,40;
702;Imst;70209;Mieming;667;688;0;0;1355;1226;90,48;1143;83;1;ÖVP;721;63,08;2;SPÖ;115;10,06;3;FPÖ;201;17,59;4;GRÜNE;62;5,42;5;VGÖ;7;0,61;6;KPÖ;0;0,00;7;TAB;37;3,24;
702;Imst;70210;Mils bei Imst;144;137;0;0;281;253;90,04;240;13;1;ÖVP;155;64,58;2;SPÖ;49;20,42;3;FPÖ;20;8,33;4;GRÜNE;11;4,58;5;VGÖ;3;1,25;6;KPÖ;0;0,00;7;TAB;2;0,83;
702;Imst;70211;Mötz;328;345;0;0;673;625;92,87;594;31;1;ÖVP;304;51,18;2;SPÖ;156;26,26;3;FPÖ;93;15,66;4;GRÜNE;34;5,72;5;VGÖ;4;0,67;6;KPÖ;0;0,00;7;TAB;3;0,51;
702;Imst;70212;Nassereith;686;777;0;0;1463;1272;86,94;1136;136;1;ÖVP;582;51,23;2;SPÖ;232;20,42;3;FPÖ;199;17,52;4;GRÜNE;89;7,83;5;VGÖ;7;0,62;6;KPÖ;0;0,00;7;TAB;27;2,38;
702;Imst;70213;Obsteig;269;252;0;0;521;484;92,90;452;32;1;ÖVP;290;64,16;2;SPÖ;45;9,96;3;FPÖ;77;17,04;4;GRÜNE;29;6,42;5;VGÖ;6;1,33;6;KPÖ;0;0,00;7;TAB;5;1,11;
702;Imst;70214;Ötz;695;742;0;0;1437;1331;92,62;1289;42;1;ÖVP;854;66,25;2;SPÖ;120;9,31;3;FPÖ;187;14,51;4;GRÜNE;49;3,80;5;VGÖ;4;0,31;6;KPÖ;0;0,00;7;TAB;75;5,82;
702;Imst;70215;Rietz;556;602;0;0;1158;1065;91,97;977;88;1;ÖVP;478;48,93;2;SPÖ;292;29,89;3;FPÖ;128;13,10;4;GRÜNE;57;5,83;5;VGÖ;12;1,23;6;KPÖ;0;0,00;7;TAB;10;1,02;
702;Imst;70216;Roppen;458;471;0;0;929;828;89,13;771;57;1;ÖVP;449;58,24;2;SPÖ;202;26,20;3;FPÖ;62;8,04;4;GRÜNE;22;2,85;5;VGÖ;4;0,52;6;KPÖ;0;0,00;7;TAB;32;4,15;
702;Imst;70218;Sautens;391;423;0;0;814;735;90,29;692;43;1;ÖVP;415;59,97;2;SPÖ;111;16,04;3;FPÖ;90;13,01;4;GRÜNE;38;5,49;5;VGÖ;5;0,72;6;KPÖ;0;0,00;7;TAB;33;4,77;
702;Imst;70219;Silz;733;830;0;0;1563;1446;92,51;1371;75;1;ÖVP;739;53,90;2;SPÖ;335;24,43;3;FPÖ;149;10,87;4;GRÜNE;115;8,39;5;VGÖ;16;1,17;6;KPÖ;0;0,00;7;TAB;17;1,24;
702;Imst;70220;Sölden;952;956;0;0;1908;1767;92,61;1709;58;1;ÖVP;1344;78,64;2;SPÖ;99;5,79;3;FPÖ;160;9,36;4;GRÜNE;34;1,99;5;VGÖ;14;0,82;6;KPÖ;0;0,00;7;TAB;58;3,39;
