Landtagswahl 2018, 25.02.2018 (Bericht wurde generiert am 17.09.2019 um 13:30)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Wahlberechtigte männlich;Wahlberechtigte weiblich;Auslandstiroler Wahlberechtigte männlich;Auslandstiroler Wahlberechtigte weiblich;Wahlberechtigte gesamt;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Wählergruppe1;Name/Wählergruppe1;Stimmen/Wählergruppe1;Prozente/Wählergruppe1;Nr./Wählergruppe2;Name/Wählergruppe2;Stimmen/Wählergruppe2;Prozente/Wählergruppe2;Nr./Wählergruppe3;Name/Wählergruppe3;Stimmen/Wählergruppe3;Prozente/Wählergruppe3;Nr./Wählergruppe4;Name/Wählergruppe4;Stimmen/Wählergruppe4;Prozente/Wählergruppe4;Nr./Wählergruppe5;Name/Wählergruppe5;Stimmen/Wählergruppe5;Prozente/Wählergruppe5;Nr./Wählergruppe6;Name/Wählergruppe6;Stimmen/Wählergruppe6;Prozente/Wählergruppe6;Nr./Wählergruppe7;Name/Wählergruppe7;Stimmen/Wählergruppe7;Prozente/Wählergruppe7;Nr./Wählergruppe8;Name/Wählergruppe8;Stimmen/Wählergruppe8;Prozente/Wählergruppe8;
701;Innsbruck-Stadt;70101;Innsbruck;40467;46109;13;10;86576;50558;58,40;50233;325;1;VP TIROL;12998;25,88;2;SPÖ;11467;22,83;3;GRÜNE;9517;18,95;5;FPÖ;8123;16,17;6;FRITZ;3962;7,89;7;NEOS;3656;7,28;8;FAMILY;393;0,78;9;IMPULS;117;0,23;
702;Imst;70201;Arzl im Pitztal;1158;1212;0;0;2370;1441;60,80;1428;13;1;VP TIROL;755;52,87;2;SPÖ;220;15,41;3;GRÜNE;96;6,72;5;FPÖ;169;11,83;6;FRITZ;76;5,32;7;NEOS;93;6,51;8;FAMILY;18;1,26;9;IMPULS;1;0,07;
702;Imst;70202;Haiming;1705;1743;0;0;3448;2143;62,15;2127;16;1;VP TIROL;865;40,67;2;SPÖ;366;17,21;3;GRÜNE;262;12,32;5;FPÖ;372;17,49;6;FRITZ;118;5,55;7;NEOS;108;5,08;8;FAMILY;28;1,32;9;IMPULS;8;0,38;
702;Imst;70203;Imst;3516;3816;1;2;7332;4008;54,66;3978;30;1;VP TIROL;1837;46,18;2;SPÖ;579;14,56;3;GRÜNE;409;10,28;5;FPÖ;624;15,69;6;FRITZ;208;5,23;7;NEOS;255;6,41;8;FAMILY;56;1,41;9;IMPULS;10;0,25;
702;Imst;70204;Imsterberg;311;314;0;0;625;412;65,92;409;3;1;VP TIROL;249;60,88;2;SPÖ;55;13,45;3;GRÜNE;9;2,20;5;FPÖ;57;13,94;6;FRITZ;16;3,91;7;NEOS;18;4,40;8;FAMILY;3;0,73;9;IMPULS;2;0,49;
702;Imst;70205;Jerzens;358;339;0;0;697;450;64,56;444;6;1;VP TIROL;273;61,49;2;SPÖ;38;8,56;3;GRÜNE;13;2,93;5;FPÖ;83;18,69;6;FRITZ;20;4,50;7;NEOS;13;2,93;8;FAMILY;4;0,90;9;IMPULS;0;0,00;
702;Imst;70206;Karres;245;258;0;0;503;360;71,57;356;4;1;VP TIROL;212;59,55;2;SPÖ;38;10,67;3;GRÜNE;7;1,97;5;FPÖ;61;17,13;6;FRITZ;12;3,37;7;NEOS;7;1,97;8;FAMILY;19;5,34;9;IMPULS;0;0,00;
702;Imst;70207;Karrösten;292;268;0;0;560;361;64,46;358;3;1;VP TIROL;185;51,68;2;SPÖ;70;19,55;3;GRÜNE;16;4,47;5;FPÖ;37;10,34;6;FRITZ;21;5,87;7;NEOS;17;4,75;8;FAMILY;11;3,07;9;IMPULS;1;0,28;
702;Imst;70208;Längenfeld;1672;1719;1;0;3391;2028;59,81;2016;12;1;VP TIROL;1415;70,19;2;SPÖ;144;7,14;3;GRÜNE;92;4,56;5;FPÖ;195;9,67;6;FRITZ;63;3,13;7;NEOS;88;4,37;8;FAMILY;15;0,74;9;IMPULS;4;0,20;
702;Imst;70209;Mieming;1317;1422;0;0;2739;1650;60,24;1637;13;1;VP TIROL;748;45,69;2;SPÖ;175;10,69;3;GRÜNE;200;12,22;5;FPÖ;247;15,09;6;FRITZ;127;7,76;7;NEOS;125;7,64;8;FAMILY;12;0,73;9;IMPULS;3;0,18;
